frame,near_player_position,far_player_position
210,"{1: [1034, 713, 1212, 963]}","{2: [776, 168, 856, 278]}"
211,"{1: [1033, 720, 1214, 970]}","{2: [776, 168, 857, 277]}"
212,"{1: [1034, 724, 1217, 975]}","{2: [776, 168, 855, 276]}"
213,"{1: [1035, 726, 1218, 976]}","{2: [776, 167, 853, 276]}"
214,"{1: [1040, 726, 1218, 977]}","{2: [776, 166, 853, 276]}"
215,"{1: [1047, 725, 1219, 977]}","{2: [777, 164, 854, 276]}"
216,"{1: [1055, 722, 1219, 976]}","{2: [779, 164, 859, 277]}"
217,"{1: [1063, 718, 1220, 976]}","{2: [783, 164, 864, 276]}"
218,"{1: [1068, 714, 1222, 976]}","{2: [790, 163, 867, 275]}"
219,"{1: [1069, 711, 1226, 973]}","{2: [800, 162, 869, 274]}"
220,"{1: [1068, 708, 1228, 969]}","{2: [812, 159, 873, 274]}"
221,"{1: [1066, 708, 1230, 965]}","{2: [823, 157, 877, 274]}"
222,"{1: [1061, 710, 1231, 964]}","{2: [831, 156, 879, 274]}"
223,"{1: [1057, 712, 1224, 963]}","{2: [839, 155, 881, 274]}"
224,"{1: [1054, 714, 1219, 963]}","{2: [846, 155, 884, 276]}"
225,"{1: [1053, 717, 1215, 963]}","{2: [850, 156, 887, 276]}"
226,"{1: [1052, 720, 1221, 963]}","{2: [854, 157, 897, 277]}"
227,"{1: [1054, 721, 1228, 963]}","{2: [858, 159, 908, 277]}"
228,"{1: [1055, 722, 1228, 963]}","{2: [861, 161, 920, 278]}"
229,"{1: [1056, 722, 1215, 963]}","{2: [865, 162, 926, 278]}"
230,"{1: [1055, 720, 1196, 962]}","{2: [869, 162, 929, 278]}"
231,"{1: [1055, 715, 1188, 961]}","{2: [871, 161, 930, 277]}"
232,"{1: [1054, 711, 1181, 960]}","{2: [872, 160, 931, 277]}"
233,"{1: [1045, 706, 1176, 958]}","{2: [873, 158, 931, 276]}"
234,"{1: [1034, 701, 1176, 953]}","{2: [873, 157, 932, 275]}"
235,"{1: [1026, 696, 1147, 950]}","{2: [875, 157, 935, 274]}"
236,"{1: [1019, 691, 1135, 947]}","{2: [877, 157, 943, 274]}"
237,"{1: [1012, 663, 1122, 941]}","{2: [878, 159, 951, 274]}"
238,"{1: [1009, 655, 1114, 938]}","{2: [880, 161, 957, 274]}"
239,"{1: [1008, 665, 1108, 935]}","{2: [881, 164, 962, 274]}"
240,"{1: [1009, 680, 1104, 935]}","{2: [882, 168, 964, 273]}"
241,"{1: [1007, 693, 1104, 935]}","{2: [882, 172, 965, 274]}"
242,"{1: [1007, 701, 1104, 935]}","{2: [881, 175, 965, 273]}"
243,"{1: [1007, 704, 1103, 934]}","{2: [881, 177, 965, 273]}"
244,"{1: [1001, 704, 1104, 933]}","{2: [881, 178, 965, 273]}"
245,"{1: [998, 700, 1104, 931]}","{2: [880, 176, 965, 274]}"
246,"{1: [1000, 698, 1106, 930]}","{2: [877, 173, 964, 274]}"
247,"{1: [997, 696, 1110, 929]}","{2: [873, 170, 961, 274]}"
248,"{1: [988, 696, 1113, 930]}","{2: [866, 167, 952, 274]}"
249,"{1: [985, 697, 1117, 933]}","{2: [859, 166, 940, 274]}"
250,"{1: [982, 697, 1120, 939]}","{2: [854, 164, 926, 275]}"
251,"{1: [983, 701, 1121, 946]}","{2: [850, 164, 912, 275]}"
252,"{1: [984, 702, 1122, 951]}","{2: [846, 166, 904, 277]}"
253,"{1: [984, 702, 1122, 955]}","{2: [841, 166, 899, 278]}"
254,"{1: [984, 700, 1121, 955]}","{2: [834, 168, 896, 278]}"
255,"{1: [984, 698, 1119, 954]}","{2: [827, 170, 893, 278]}"
256,"{1: [984, 697, 1118, 954]}","{2: [821, 171, 892, 278]}"
257,"{1: [979, 697, 1119, 955]}","{2: [816, 172, 892, 278]}"
258,"{1: [971, 697, 1122, 959]}","{2: [813, 173, 892, 278]}"
259,"{1: [967, 700, 1123, 965]}","{2: [813, 174, 891, 278]}"
260,"{1: [966, 703, 1125, 968]}","{2: [813, 173, 890, 278]}"
261,"{1: [965, 704, 1126, 970]}","{2: [813, 173, 887, 278]}"
262,"{1: [965, 703, 1126, 970]}","{2: [808, 171, 883, 278]}"
263,"{1: [965, 701, 1126, 969]}","{2: [803, 170, 877, 279]}"
264,"{1: [968, 700, 1128, 966]}","{2: [805, 169, 869, 278]}"
265,"{1: [971, 700, 1134, 967]}","{2: [805, 170, 865, 279]}"
266,"{1: [973, 703, 1142, 970]}","{2: [796, 171, 863, 279]}"
267,"{1: [976, 707, 1148, 974]}","{2: [786, 171, 862, 280]}"
268,"{1: [977, 714, 1153, 978]}","{2: [780, 171, 863, 280]}"
269,"{1: [977, 723, 1159, 984]}","{2: [777, 174, 862, 280]}"
270,"{1: [976, 731, 1164, 986]}","{2: [775, 174, 862, 280]}"
271,"{1: [976, 738, 1167, 990]}","{2: [774, 174, 862, 280]}"
272,"{1: [977, 744, 1168, 992]}","{2: [774, 173, 862, 279]}"
273,"{1: [978, 746, 1169, 992]}","{2: [774, 172, 859, 279]}"
274,"{1: [980, 747, 1171, 993]}","{2: [774, 171, 856, 279]}"
275,"{1: [982, 745, 1172, 992]}","{2: [774, 170, 855, 279]}"
276,"{1: [983, 742, 1172, 992]}","{2: [775, 168, 855, 279]}"
277,"{1: [982, 738, 1172, 991]}","{2: [778, 167, 859, 278]}"
278,"{1: [981, 735, 1170, 988]}","{2: [782, 167, 862, 278]}"
279,"{1: [981, 732, 1160, 986]}","{2: [789, 166, 865, 277]}"
280,"{1: [981, 729, 1142, 986]}","{2: [799, 164, 869, 276]}"
281,"{1: [980, 725, 1124, 983]}","{2: [809, 163, 873, 276]}"
282,"{1: [972, 723, 1119, 980]}","{2: [820, 161, 878, 276]}"
283,"{1: [962, 721, 1110, 975]}","{2: [827, 159, 880, 277]}"
284,"{1: [952, 721, 1105, 969]}","{2: [833, 158, 883, 278]}"
285,"{1: [944, 722, 1097, 967]}","{2: [840, 157, 886, 278]}"
286,"{1: [937, 723, 1097, 966]}","{2: [850, 158, 890, 278]}"
287,"{1: [933, 725, 1096, 966]}","{2: [855, 160, 894, 278]}"
288,"{1: [935, 726, 1109, 965]}","{2: [860, 161, 902, 278]}"
289,"{1: [936, 727, 1102, 965]}","{2: [865, 163, 916, 278]}"
290,"{1: [936, 724, 1093, 964]}","{2: [869, 163, 925, 279]}"
291,"{1: [935, 722, 1076, 963]}","{2: [872, 163, 931, 278]}"
292,"{1: [934, 718, 1066, 963]}","{2: [873, 162, 933, 278]}"
293,"{1: [934, 711, 1054, 960]}","{2: [873, 160, 935, 278]}"
294,"{1: [928, 703, 1051, 956]}","{2: [876, 159, 935, 278]}"
295,"{1: [921, 697, 1054, 951]}","{2: [879, 158, 935, 276]}"
296,"{1: [919, 696, 1045, 948]}","{2: [882, 157, 939, 275]}"
297,"{1: [914, 695, 1027, 946]}","{2: [884, 156, 945, 274]}"
298,"{1: [912, 686, 1013, 946]}","{2: [887, 157, 955, 274]}"
299,"{1: [912, 689, 1002, 945]}","{2: [890, 159, 962, 274]}"
300,"{1: [909, 691, 995, 943]}","{2: [892, 161, 969, 275]}"
301,"{1: [903, 691, 996, 941]}","{2: [892, 166, 974, 275]}"
302,"{1: [904, 690, 1001, 935]}","{2: [892, 170, 976, 274]}"
303,"{1: [903, 689, 1009, 932]}","{2: [892, 172, 977, 274]}"
304,"{1: [905, 687, 1014, 928]}","{2: [892, 172, 977, 274]}"
305,"{1: [902, 685, 1019, 924]}","{2: [892, 171, 977, 274]}"
