single_centre_point,clean_centre_point,complete_centre_point,velocity_vector,velocity,velocity_delta,frame
,,"(930, 574)",42,42,-1.0,402
,,"(906, 607)",40,40,-2.0,403
,,"(884, 639)",38,38,-2.0,404
,,"(863, 669)",36,36,-2.0,405
,,"(844, 696)",33,33,-3.0,406
"(831, 717)","(831, 717)","(831, 717)",24,24,-9.0,407
,,"(860, 647)",-75,75,-99.0,408
,,"(889, 580)",-73,73,2.0,409
,,"(917, 515)",-70,70,3.0,410
,,"(943, 454)",-66,66,4.0,411
,,"(967, 397)",-61,61,5.0,412
,,"(989, 345)",-56,56,5.0,413
"(1007, 306)","(1007, 306)","(1007, 306)",-42,42,14.0,414
"(994, 316)","(994, 316)","(994, 316)",16,16,58.0,415
"(984, 324)","(984, 324)","(984, 324)",12,12,-4.0,416
"(970, 333)","(970, 333)","(970, 333)",16,16,4.0,417
"(959, 342)","(959, 342)","(959, 342)",14,14,-2.0,418
"(943, 359)","(943, 359)","(943, 359)",23,23,9.0,419
"(932, 370)","(932, 370)","(932, 370)",15,15,-8.0,420
"(922, 384)","(922, 384)","(922, 384)",17,17,2.0,421
,,"(905, 407)",28,28,11.0,422
,,"(891, 429)",26,26,-2.0,423
,,"(877, 450)",25,25,-1.0,424
,,"(865, 469)",22,22,-3.0,425
"(856, 484)","(856, 484)","(856, 484)",17,17,-5.0,426
"(845, 507)","(845, 507)","(845, 507)",25,25,8.0,427
"(835, 529)","(835, 529)","(835, 529)",24,24,-1.0,428
"(821, 561)","(821, 561)","(821, 561)",34,34,10.0,429
"(809, 589)","(809, 589)","(809, 589)",30,30,-4.0,430
"(797, 619)","(797, 619)","(797, 619)",32,32,2.0,431
"(783, 657)","(783, 657)","(783, 657)",40,40,8.0,432
,,"(771, 673)",20,20,-20.0,433
,,"(761, 690)",19,19,-1.0,434
,,"(751, 705)",18,18,-1.0,435
,,"(742, 719)",16,16,-2.0,436
"(736, 730)","(736, 730)","(736, 730)",12,12,-4.0,437
"(729, 733)","(729, 733)","(729, 733)",7,7,-5.0,438
"(722, 738)","(722, 738)","(722, 738)",8,8,1.0,439
"(714, 743)","(714, 743)","(714, 743)",9,9,1.0,440
"(706, 750)","(706, 750)","(706, 750)",10,10,1.0,441
"(700, 764)","(700, 764)","(700, 764)",15,15,5.0,442
"(694, 777)","(694, 777)","(694, 777)",14,14,-1.0,443
"(687, 791)","(687, 791)","(687, 791)",15,15,1.0,444
"(697, 742)","(697, 742)","(697, 742)",-50,50,-65.0,445
"(705, 696)","(705, 696)","(705, 696)",-46,46,4.0,446
"(714, 650)","(714, 650)","(714, 650)",-46,46,0.0,447
"(723, 597)","(723, 597)","(723, 597)",-53,53,-7.0,448
"(730, 560)","(730, 560)","(730, 560)",-37,37,16.0,449
"(736, 524)","(736, 524)","(736, 524)",-36,36,1.0,450
"(741, 496)","(741, 496)","(741, 496)",-28,28,8.0,451
,,"(743, 469)",-27,27,1.0,452
,,"(746, 445)",-24,24,3.0,453
,,"(749, 422)",-23,23,1.0,454
,,"(751, 401)",-21,21,2.0,455
"(754, 386)","(754, 386)","(754, 386)",-15,15,6.0,456
"(755, 373)","(755, 373)","(755, 373)",-13,13,2.0,457
"(755, 360)","(755, 360)","(755, 360)",-13,13,0.0,458
"(756, 348)","(756, 348)","(756, 348)",-12,12,1.0,459
"(755, 340)","(755, 340)","(755, 340)",-8,8,4.0,460
"(757, 331)","(757, 331)","(757, 331)",-9,9,-1.0,461
"(756, 325)","(756, 325)","(756, 325)",-6,6,3.0,462
"(755, 319)","(755, 319)","(755, 319)",-6,6,0.0,463
"(754, 317)","(754, 317)","(754, 317)",-2,2,4.0,464
"(753, 315)","(753, 315)","(753, 315)",-2,2,0.0,465
"(753, 313)","(753, 313)","(753, 313)",-2,2,0.0,466
"(752, 311)","(752, 311)","(752, 311)",-2,2,0.0,467
"(749, 310)","(749, 310)","(749, 310)",-3,3,-1.0,468
"(747, 310)","(747, 310)","(747, 310)",2,2,5.0,469
"(746, 311)","(746, 311)","(746, 311)",1,1,-1.0,470
"(745, 313)","(745, 313)","(745, 313)",2,2,1.0,471
"(744, 315)","(744, 315)","(744, 315)",2,2,0.0,472
