frame,multi_ball_position,single_ball_position,clean_ball_position,complete_ball_position,centre_point,x,y,x_diff,y_diff,velocity
441,"{1: [696, 740, 716, 761]}","{1: [696, 740, 716, 761]}","{1: [696, 740, 716, 761]}","{1: [696.0, 740.0, 716.0, 761.0]}","(706, 750)",706,750,-8,7,10.63
442,"{1: [690, 753, 711, 775]}","{1: [690, 753, 711, 775]}","{1: [690, 753, 711, 775]}","{1: [690.0, 753.0, 711.0, 775.0]}","(700, 764)",700,764,-6,14,15.23
443,"{1: [680, 763, 708, 791]}","{1: [680, 763, 708, 791]}","{1: [680, 763, 708, 791]}","{1: [680.0, 763.0, 708.0, 791.0]}","(694, 777)",694,777,-6,13,14.32
444,"{1: [679, 782, 696, 800]}","{1: [679, 782, 696, 800]}","{1: [679, 782, 696, 800]}","{1: [679.0, 782.0, 696.0, 800.0]}","(687, 791)",687,791,-7,14,15.65
445,"{1: [686, 730, 709, 755]}","{1: [686, 730, 709, 755]}","{1: [686, 730, 709, 755]}","{1: [686.0, 730.0, 709.0, 755.0]}","(697, 742)",697,742,10,-49,50.01
446,"{1: [697, 687, 714, 705]}","{1: [697, 687, 714, 705]}","{1: [697, 687, 714, 705]}","{1: [697.0, 687.0, 714.0, 705.0]}","(705, 696)",705,696,8,-46,46.69
447,"{1: [840, 714, 858, 734], 2: [704, 639, 725, 661]}","{1: [704, 639, 725, 661]}","{1: [704, 639, 725, 661]}","{1: [704.0, 639.0, 725.0, 661.0]}","(714, 650)",714,650,9,-46,46.87
448,"{1: [713, 587, 734, 608]}","{1: [713, 587, 734, 608]}","{1: [713, 587, 734, 608]}","{1: [713.0, 587.0, 734.0, 608.0]}","(723, 597)",723,597,9,-53,53.76
449,"{1: [721, 549, 740, 571]}","{1: [721, 549, 740, 571]}","{1: [721, 549, 740, 571]}","{1: [721.0, 549.0, 740.0, 571.0]}","(730, 560)",730,560,7,-37,37.66
450,"{1: [729, 516, 744, 532]}","{1: [729, 516, 744, 532]}","{1: [729, 516, 744, 532]}","{1: [729.0, 516.0, 744.0, 532.0]}","(736, 524)",736,524,6,-36,36.5
451,"{1: [729, 484, 756, 511], 2: [730, 485, 753, 508]}","{1: [730, 485, 753, 508]}","{1: [730, 485, 753, 508]}","{1: [730.0, 485.0, 753.0, 508.0]}","(741, 496)",741,496,5,-28,28.44
452,{},{},{},"{1: [733.0, 459.0, 754.0, 480.0]}","(743, 469)",743,469,2,-27,27.07
453,{},{},{},"{1: [736.0, 435.0, 757.0, 456.0]}","(746, 445)",746,445,3,-24,24.19
454,{},{},{},"{1: [739.0, 412.0, 759.0, 433.0]}","(749, 422)",749,422,3,-23,23.19
455,{},{},{},"{1: [741.0, 391.0, 762.0, 412.0]}","(751, 401)",751,401,2,-21,21.1
456,"{1: [745, 377, 763, 396]}","{1: [745, 377, 763, 396]}","{1: [745, 377, 763, 396]}","{1: [745.0, 377.0, 763.0, 396.0]}","(754, 386)",754,386,3,-15,15.3
457,"{1: [744, 360, 768, 386], 2: [741, 358, 770, 389]}","{1: [741, 358, 770, 389]}","{1: [741, 358, 770, 389]}","{1: [741.0, 358.0, 770.0, 389.0]}","(755, 373)",755,373,1,-13,13.04
458,"{1: [748, 353, 762, 368]}","{1: [748, 353, 762, 368]}","{1: [748, 353, 762, 368]}","{1: [748.0, 353.0, 762.0, 368.0]}","(755, 360)",755,360,0,-13,13.0
459,"{1: [743, 334, 770, 363]}","{1: [743, 334, 770, 363]}","{1: [743, 334, 770, 363]}","{1: [743.0, 334.0, 770.0, 363.0]}","(756, 348)",756,348,1,-12,12.04
460,"{1: [747, 331, 764, 349]}","{1: [747, 331, 764, 349]}","{1: [747, 331, 764, 349]}","{1: [747.0, 331.0, 764.0, 349.0]}","(755, 340)",755,340,-1,-8,8.06
461,"{1: [750, 324, 764, 339]}","{1: [750, 324, 764, 339]}","{1: [750, 324, 764, 339]}","{1: [750.0, 324.0, 764.0, 339.0]}","(757, 331)",757,331,2,-9,9.22
462,"{1: [743, 311, 770, 339]}","{1: [743, 311, 770, 339]}","{1: [743, 311, 770, 339]}","{1: [743.0, 311.0, 770.0, 339.0]}","(756, 325)",756,325,-1,-6,6.08
463,"{1: [746, 309, 765, 330]}","{1: [746, 309, 765, 330]}","{1: [746, 309, 765, 330]}","{1: [746.0, 309.0, 765.0, 330.0]}","(755, 319)",755,319,-1,-6,6.08
464,"{1: [746, 308, 762, 326]}","{1: [746, 308, 762, 326]}","{1: [746, 308, 762, 326]}","{1: [746.0, 308.0, 762.0, 326.0]}","(754, 317)",754,317,-1,-2,2.24
465,"{1: [746, 307, 761, 324]}","{1: [746, 307, 761, 324]}","{1: [746, 307, 761, 324]}","{1: [746.0, 307.0, 761.0, 324.0]}","(753, 315)",753,315,-1,-2,2.24
466,"{1: [745, 305, 761, 322]}","{1: [745, 305, 761, 322]}","{1: [745, 305, 761, 322]}","{1: [745.0, 305.0, 761.0, 322.0]}","(753, 313)",753,313,0,-2,2.0
467,"{1: [744, 302, 761, 321]}","{1: [744, 302, 761, 321]}","{1: [744, 302, 761, 321]}","{1: [744.0, 302.0, 761.0, 321.0]}","(752, 311)",752,311,-1,-2,2.24
468,"{1: [739, 300, 759, 321]}","{1: [739, 300, 759, 321]}","{1: [739, 300, 759, 321]}","{1: [739.0, 300.0, 759.0, 321.0]}","(749, 310)",749,310,-3,-1,3.16
469,"{1: [737, 299, 758, 321]}","{1: [737, 299, 758, 321]}","{1: [737, 299, 758, 321]}","{1: [737.0, 299.0, 758.0, 321.0]}","(747, 310)",747,310,-2,0,2.0
