frame_num,near_player_serve_speed,near_player_number_of_shots,near_player_last_shot_speed,near_player_total_shot_speed,near_player_number_of_net_clearances,near_player_last_net_clearance,near_player_total_net_clearance,near_player_last_distance,near_player_total_distance,far_player_serve_speed,far_player_number_of_shots,far_player_last_shot_speed,far_player_total_shot_speed,far_player_number_of_net_clearances,far_player_last_net_clearance,far_player_total_net_clearance,far_player_last_distance,far_player_total_distance
154,0.0,2,133.55,236.09,2,0.98,1.93,0.14,11.38,142.56,2,114.23,189.54,1,2.15,2.15,0.08,24.26
155,0.0,2,133.55,236.09,2,0.98,1.93,0.09,11.47,142.56,2,114.23,189.54,1,2.15,2.15,0.12,24.38
156,0.0,2,133.55,236.09,2,0.98,1.93,0.12,11.59,142.56,2,114.23,189.54,1,2.15,2.15,0.04,24.42
157,0.0,2,133.55,236.09,2,0.98,1.93,0.12,11.71,142.56,2,114.23,189.54,2,1.0,3.15,0.08,24.5
158,0.0,2,133.55,236.09,2,0.98,1.93,0.16,11.87,142.56,2,114.23,189.54,2,1.0,3.15,0.12,24.62
159,0.0,2,133.55,236.09,2,0.98,1.93,0.12,11.99,142.56,2,114.23,189.54,2,1.0,3.15,0.04,24.66
160,0.0,2,133.55,236.09,2,0.98,1.93,0.14,12.13,142.56,2,114.23,189.54,2,1.0,3.15,0.04,24.7
161,0.0,2,133.55,236.09,2,0.98,1.93,0.09,12.22,142.56,2,114.23,189.54,2,1.0,3.15,0.04,24.74
162,0.0,2,133.55,236.09,2,0.98,1.93,0.12,12.34,142.56,2,114.23,189.54,2,1.0,3.15,0.04,24.78
163,0.0,2,133.55,236.09,2,0.98,1.93,0.09,12.43,142.56,2,114.23,189.54,2,1.0,3.15,0.08,24.86
164,0.0,2,133.55,236.09,2,0.98,1.93,0.16,12.59,142.56,2,114.23,189.54,2,1.0,3.15,0.04,24.9
165,0.0,2,133.55,236.09,2,0.98,1.93,0.12,12.71,142.56,2,114.23,189.54,2,1.0,3.15,0.12,25.02
166,0.0,2,133.55,236.09,2,0.98,1.93,0.08,12.79,142.56,2,114.23,189.54,2,1.0,3.15,0.12,25.14
167,0.0,2,133.55,236.09,2,0.98,1.93,0.06,12.85,142.56,2,114.23,189.54,2,1.0,3.15,0.04,25.18
168,0.0,2,133.55,236.09,2,0.98,1.93,0.06,12.91,142.56,2,114.23,189.54,2,1.0,3.15,0.14,25.32
169,0.0,2,133.55,236.09,2,0.98,1.93,0.04,12.95,142.56,2,114.23,189.54,2,1.0,3.15,0.2,25.52
170,0.0,2,133.55,236.09,2,0.98,1.93,0.06,13.01,142.56,2,114.23,189.54,2,1.0,3.15,0.14,25.66
171,0.0,2,133.55,236.09,2,0.98,1.93,0.04,13.05,142.56,2,114.23,189.54,2,1.0,3.15,0.12,25.78
172,0.0,2,133.55,236.09,2,0.98,1.93,0.08,13.13,142.56,2,114.23,189.54,2,1.0,3.15,0.08,25.86
173,0.0,2,133.55,236.09,2,0.98,1.93,0.08,13.21,142.56,2,114.23,189.54,2,1.0,3.15,0.08,25.94
174,0.0,3,129.71,365.8,2,0.98,1.93,0.09,13.3,142.56,2,114.23,189.54,2,1.0,3.15,0.12,26.06
175,0.0,3,129.71,365.8,2,0.98,1.93,0.08,13.38,142.56,2,114.23,189.54,2,1.0,3.15,0.12,26.18
176,0.0,3,129.71,365.8,2,0.98,1.93,0.09,13.47,142.56,2,114.23,189.54,2,1.0,3.15,0.12,26.3
177,0.0,3,129.71,365.8,2,0.98,1.93,0.14,13.61,142.56,2,114.23,189.54,2,1.0,3.15,0.16,26.46
178,0.0,3,129.71,365.8,2,0.98,1.93,0.17,13.78,142.56,2,114.23,189.54,2,1.0,3.15,0.33,26.79
179,0.0,3,129.71,365.8,2,0.98,1.93,0.14,13.92,142.56,2,114.23,189.54,2,1.0,3.15,0.11,26.9
180,0.0,3,129.71,365.8,2,0.98,1.93,0.12,14.04,142.56,2,114.23,189.54,2,1.0,3.15,0.08,26.98
181,0.0,3,129.71,365.8,2,0.98,1.93,0.06,14.1,142.56,2,114.23,189.54,2,1.0,3.15,0.04,27.02
