multi_ball_position,single_ball_position,clean_ball_position,complete_ball_position,frame,centre_point,x,y,x_diff,y_diff,velocity,velocity_vector,y_rolling_mean,y_rolling_mean_delta,velocity_vector_delta,velocity_rolling_mean,acceleration
"{1: [872, 504, 901, 532], 2: [874, 507, 895, 530]}","{1: [872, 504, 901, 532]}","{1: [872, 504, 901, 532]}","{1: [872.0, 504.0, 901.0, 532.0]}",100,"(886, 518)",886,518,-18,26,31.62,31.62,478.2,19.4,14.42,24.7,0.79
"{1: [856, 533, 878, 556]}","{1: [856, 533, 878, 556]}","{1: [856, 533, 878, 556]}","{1: [856.0, 533.0, 878.0, 556.0]}",101,"(867, 544)",867,544,-19,26,32.2,32.2,498.6,20.4,0.58,25.7,1.04
"{1: [844, 565, 858, 581]}","{1: [844, 565, 858, 581]}","{1: [844, 565, 858, 581]}","{1: [844.0, 565.0, 858.0, 581.0]}",102,"(851, 573)",851,573,-16,29,33.12,33.12,521.0,22.4,0.92,27.4,1.66
"{1: [822, 594, 840, 613]}","{1: [822, 594, 840, 613]}","{1: [822, 594, 840, 613]}","{1: [822.0, 594.0, 840.0, 613.0]}",103,"(831, 603)",831,603,-20,30,36.06,36.06,546.0,25.0,2.94,30.0,2.68
{},{},{},"{1: [800.0, 628.0, 821.0, 650.0]}",104,"(810, 639)",810,639,-21,36,41.68,41.68,575.4,29.4,5.62,34.9,4.9
"{1: [783, 655, 807, 680]}","{1: [783, 655, 807, 680]}","{1: [783, 655, 807, 680]}","{1: [783.0, 655.0, 807.0, 680.0]}",105,"(795, 667)",795,667,-15,28,31.76,31.76,605.2,29.8,-9.92,35.0,0.03
"{1: [767, 693, 787, 714]}","{1: [767, 693, 787, 714]}","{1: [767, 693, 787, 714]}","{1: [767.0, 693.0, 787.0, 714.0]}",106,"(777, 703)",777,703,-18,36,40.25,40.25,637.0,31.8,8.49,36.6,1.61
"{1: [753, 700, 780, 727], 2: [755, 702, 777, 724]}","{1: [753, 700, 780, 727]}","{1: [753, 700, 780, 727]}","{1: [753.0, 700.0, 780.0, 727.0]}",107,"(766, 713)",766,713,-11,10,14.87,14.87,665.0,28.0,-25.38,32.9,-3.65
"{1: [741, 694, 767, 723]}","{1: [741, 694, 767, 723]}","{1: [741, 694, 767, 723]}","{1: [741.0, 694.0, 767.0, 723.0]}",108,"(754, 708)",754,708,-12,-5,13.0,-13.0,686.0,21.0,-27.87,28.3,-9.81
"{1: [731, 691, 758, 721]}","{1: [731, 691, 758, 721]}","{1: [731, 691, 758, 721]}","{1: [731.0, 691.0, 758.0, 721.0]}",109,"(744, 706)",744,706,-10,-2,10.2,-10.2,699.4,13.4,2.8,22.0,-10.38
"{1: [722, 693, 741, 714]}","{1: [722, 693, 741, 714]}","{1: [722, 693, 741, 714]}","{1: [722.0, 693.0, 741.0, 714.0]}",110,"(731, 703)",731,703,-13,-3,13.34,-13.34,706.6,7.2,-3.14,18.3,-9.02
"{1: [709, 692, 734, 718]}","{1: [709, 692, 734, 718]}","{1: [709, 692, 734, 718]}","{1: [709.0, 692.0, 734.0, 718.0]}",111,"(721, 705)",721,705,-10,2,10.2,10.2,707.0,0.4,23.54,12.3,-6.01
"{1: [699, 694, 723, 719]}","{1: [699, 694, 723, 719]}","{1: [699, 694, 723, 719]}","{1: [699.0, 694.0, 723.0, 719.0]}",112,"(711, 706)",711,706,-10,1,10.05,10.05,705.6,-1.4,-0.15,11.4,-0.96
"{1: [688, 699, 711, 723], 2: [686, 694, 715, 734]}","{1: [686, 694, 715, 734]}","{1: [686, 694, 715, 734]}","{1: [686.0, 694.0, 715.0, 734.0]}",113,"(700, 714)",700,714,-11,8,13.6,13.6,706.8,1.2,3.55,11.5,5.32
"{1: [681, 707, 700, 725], 2: [676, 699, 708, 733]}","{1: [676, 699, 708, 733]}","{1: [676, 699, 708, 733]}","{1: [676.0, 699.0, 708.0, 733.0]}",114,"(692, 716)",692,716,-8,2,8.25,8.25,708.8,2.0,-5.35,11.1,3.69
"{1: [669, 716, 688, 738]}","{1: [669, 716, 688, 738]}","{1: [669, 716, 688, 738]}","{1: [669.0, 716.0, 688.0, 738.0]}",115,"(678, 727)",678,727,-14,11,17.8,17.8,713.6,4.8,9.55,12.0,6.23
"{1: [656, 722, 684, 749], 2: [658, 722, 680, 745]}","{1: [656, 722, 684, 749]}","{1: [656, 722, 684, 749]}","{1: [656.0, 722.0, 684.0, 749.0]}",116,"(670, 735)",670,735,-8,8,11.31,11.31,719.6,6.0,-6.49,12.2,0.22
"{1: [650, 739, 666, 756]}","{1: [650, 739, 666, 756]}","{1: [650, 739, 666, 756]}","{1: [650.0, 739.0, 666.0, 756.0]}",117,"(658, 747)",658,747,-12,12,16.97,16.97,727.8,8.2,5.66,13.6,1.38
"{1: [661, 652, 688, 680]}","{1: [661, 652, 688, 680]}","{1: [661, 652, 688, 680]}","{1: [661.0, 652.0, 688.0, 680.0]}",118,"(674, 666)",674,666,16,-81,82.57,-82.57,718.2,-9.6,-99.54,27.4,-19.23
"{1: [679, 593, 701, 617]}","{1: [679, 593, 701, 617]}","{1: [679, 593, 701, 617]}","{1: [679.0, 593.0, 701.0, 617.0]}",119,"(690, 605)",690,605,16,-61,63.06,-63.06,696.0,-22.2,19.51,38.3,-14.26
"{1: [697, 537, 715, 556]}","{1: [697, 537, 715, 556]}","{1: [697, 537, 715, 556]}","{1: [697.0, 537.0, 715.0, 556.0]}",120,"(706, 546)",706,546,16,-59,61.13,-61.13,659.8,-36.2,1.93,47.0,-15.79
"{1: [707, 484, 733, 510]}","{1: [707, 484, 733, 510]}","{1: [707, 484, 733, 510]}","{1: [707.0, 484.0, 733.0, 510.0]}",121,"(720, 497)",720,497,14,-49,50.96,-50.96,612.2,-47.6,10.17,54.9,-12.45
{},{},{},"{1: [717.0, 448.0, 741.0, 473.0]}",122,"(729, 460)",729,460,9,-37,38.08,-38.08,554.8,-57.4,12.88,59.2,-11.01
{},{},{},"{1: [727.0, 415.0, 751.0, 440.0]}",123,"(739, 427)",739,427,10,-33,34.48,-34.48,507.0,-47.8,3.6,49.5,9.62
{},{},{},"{1: [735.0, 385.0, 759.0, 410.0]}",124,"(747, 397)",747,397,8,-30,31.05,-31.05,465.4,-41.6,3.43,43.1,6.4
