frame_num,player_1_last_player_distance,player_1_total_player_distance,player_2_last_player_distance,player_2_total_player_distance,player_1_number_of_shots,player_1_last_shot_speed,player_1_total_shot_speed,player_2_number_of_shots,player_2_last_shot_speed,player_2_total_shot_speed
249,0.04,18.17,0.19,31.08,3,140.69,400.23999999999995,2,121.24,234.67000000000002
250,0.12,18.29,0.12,31.2,3,140.69,400.23999999999995,2,121.24,234.67000000000002
251,0.12,18.41,0.16,31.36,3,140.69,400.23999999999995,2,121.24,234.67000000000002
252,0.12,18.53,0.23,31.59,3,140.69,400.23999999999995,2,121.24,234.67000000000002
253,0.04,18.57,0.11,31.7,3,140.69,400.23999999999995,2,121.24,234.67000000000002
254,0.0,18.57,0.11,31.81,3,140.69,400.23999999999995,2,121.24,234.67000000000002
255,0.0,18.57,0.08,31.89,3,140.69,400.23999999999995,2,121.24,234.67000000000002
256,0.0,18.57,0.04,31.93,3,140.69,400.23999999999995,2,121.24,234.67000000000002
257,0.04,18.61,0.04,31.97,3,140.69,400.23999999999995,2,121.24,234.67000000000002
258,0.08,18.69,0.04,32.01,3,140.69,400.23999999999995,2,121.24,234.67000000000002
259,0.12,18.81,0.04,32.05,3,140.69,400.23999999999995,2,121.24,234.67000000000002
260,0.04,18.85,0.04,32.09,3,140.69,400.23999999999995,2,121.24,234.67000000000002
261,0.04,18.89,0.04,32.13,3,140.69,400.23999999999995,2,121.24,234.67000000000002
262,0.0,18.89,0.11,32.24,3,140.69,400.23999999999995,2,121.24,234.67000000000002
263,0.04,18.93,0.09,32.33,3,140.69,400.23999999999995,2,121.24,234.67000000000002
264,0.04,18.97,0.06,32.39,3,140.69,400.23999999999995,3,112.72,347.39
265,0.04,19.01,0.06,32.45,3,140.69,400.23999999999995,3,112.72,347.39
266,0.09,19.1,0.14,32.59,3,140.69,400.23999999999995,3,112.72,347.39
267,0.08,19.18,0.08,32.67,3,140.69,400.23999999999995,3,112.72,347.39
268,0.06,19.24,0.04,32.71,3,140.69,400.23999999999995,3,112.72,347.39
269,0.12,19.36,0.06,32.77,3,140.69,400.23999999999995,3,112.72,347.39
270,0.06,19.42,0.04,32.81,3,140.69,400.23999999999995,3,112.72,347.39
271,0.08,19.5,0.04,32.85,3,140.69,400.23999999999995,3,112.72,347.39
272,0.0,19.5,0.04,32.89,3,140.69,400.23999999999995,3,112.72,347.39
273,0.0,19.5,0.06,32.95,3,140.69,400.23999999999995,3,112.72,347.39
274,0.06,19.56,0.06,33.01,3,140.69,400.23999999999995,3,112.72,347.39
275,0.04,19.6,0.0,33.01,3,140.69,400.23999999999995,3,112.72,347.39
276,0.0,19.6,0.04,33.05,3,140.69,400.23999999999995,3,112.72,347.39
277,0.0,19.6,0.06,33.11,3,140.69,400.23999999999995,3,112.72,347.39
278,0.06,19.66,0.06,33.17,3,140.69,400.23999999999995,3,112.72,347.39
279,0.04,19.7,0.09,33.26,3,140.69,400.23999999999995,3,112.72,347.39
280,0.08,19.78,0.17,33.43,3,140.69,400.23999999999995,3,112.72,347.39
281,0.09,19.87,0.12,33.55,3,140.69,400.23999999999995,3,112.72,347.39
282,0.09,19.96,0.12,33.67,3,140.69,400.23999999999995,3,112.72,347.39
283,0.09,20.05,0.14,33.81,3,140.69,400.23999999999995,3,112.72,347.39
284,0.12,20.17,0.09,33.9,3,140.69,400.23999999999995,3,112.72,347.39
285,0.09,20.26,0.09,33.99,3,140.69,400.23999999999995,3,112.72,347.39
286,0.0,20.26,0.12,34.11,3,140.69,400.23999999999995,3,112.72,347.39
287,0.04,20.3,0.09,34.2,3,140.69,400.23999999999995,3,112.72,347.39
288,0.08,20.38,0.12,34.32,3,140.69,400.23999999999995,3,112.72,347.39
289,0.04,20.42,0.16,34.48,3,140.69,400.23999999999995,3,112.72,347.39
290,0.06,20.48,0.12,34.6,3,140.69,400.23999999999995,3,112.72,347.39
291,0.04,20.52,0.04,34.64,3,140.69,400.23999999999995,3,112.72,347.39
292,0.04,20.56,0.04,34.68,3,140.69,400.23999999999995,3,112.72,347.39
293,0.09,20.65,0.06,34.74,3,140.69,400.23999999999995,3,112.72,347.39
294,0.06,20.71,0.04,34.78,4,112.92,513.16,3,112.72,347.39
295,0.12,20.83,0.2,34.98,4,112.92,513.16,3,112.72,347.39
296,0.06,20.89,0.09,35.07,4,112.92,513.16,3,112.72,347.39
297,0.12,21.01,0.14,35.21,4,112.92,513.16,3,112.72,347.39
298,0.04,21.05,0.12,35.33,4,112.92,513.16,3,112.72,347.39
299,0.04,21.09,0.09,35.42,4,112.92,513.16,3,112.72,347.39
300,0.06,21.15,0.06,35.48,4,112.92,513.16,3,112.72,347.39
301,0.04,21.19,0.08,35.56,4,112.92,513.16,3,112.72,347.39
