single_centre_point,clean_centre_point,complete_centre_point,velocity_vector,velocity,velocity_delta,frame
,,"(832, 281)",14,14,-1.0,269
,,"(840, 292)",13,13,-1.0,270
,,"(848, 301)",12,12,-1.0,271
"(854, 309)","(854, 309)","(854, 309)",10,10,-2.0,272
"(866, 327)","(866, 327)","(866, 327)",21,21,11.0,273
"(874, 349)","(874, 349)","(874, 349)",23,23,2.0,274
"(884, 371)","(884, 371)","(884, 371)",24,24,1.0,275
,,"(897, 407)",38,38,14.0,276
,,"(909, 441)",36,36,-2.0,277
,,"(921, 472)",33,33,-3.0,278
"(930, 496)","(930, 496)","(930, 496)",25,25,-8.0,279
"(938, 525)","(938, 525)","(938, 525)",30,30,5.0,280
,,"(951, 558)",35,35,5.0,281
,,"(963, 589)",33,33,-2.0,282
,,"(975, 617)",30,30,-3.0,283
"(984, 639)","(984, 639)","(984, 639)",23,23,-7.0,284
"(992, 643)","(992, 643)","(992, 643)",8,8,-15.0,285
"(1004, 647)","(1004, 647)","(1004, 647)",12,12,4.0,286
"(1013, 657)","(1013, 657)","(1013, 657)",13,13,1.0,287
"(1026, 667)","(1026, 667)","(1026, 667)",16,16,3.0,288
"(1035, 682)","(1035, 682)","(1035, 682)",17,17,1.0,289
"(1048, 697)","(1048, 697)","(1048, 697)",19,19,2.0,290
"(1060, 718)","(1060, 718)","(1060, 718)",24,24,5.0,291
"(1073, 741)","(1073, 741)","(1073, 741)",26,26,2.0,292
"(1083, 765)","(1083, 765)","(1083, 765)",26,26,0.0,293
"(1098, 796)","(1098, 796)","(1098, 796)",34,34,8.0,294
,,"(1109, 757)",-40,40,-74.0,295
"(1119, 728)","(1119, 728)","(1119, 728)",-30,30,10.0,296
"(1128, 665)","(1128, 665)","(1128, 665)",-63,63,-33.0,297
"(1132, 601)","(1132, 601)","(1132, 601)",-64,64,-1.0,298
"(1139, 543)","(1139, 543)","(1139, 543)",-58,58,6.0,299
"(1142, 503)","(1142, 503)","(1142, 503)",-40,40,18.0,300
,,"(1146, 467)",-36,36,4.0,301
,,"(1150, 433)",-34,34,2.0,302
,,"(1154, 403)",-30,30,4.0,303
"(1157, 380)","(1157, 380)","(1157, 380)",-23,23,7.0,304
"(1160, 364)","(1160, 364)","(1160, 364)",-16,16,7.0,305
"(1163, 346)","(1163, 346)","(1163, 346)",-18,18,-2.0,306
"(1163, 337)","(1163, 337)","(1163, 337)",-9,9,9.0,307
"(1167, 326)","(1167, 326)","(1167, 326)",-11,11,-2.0,308
"(1167, 319)","(1167, 319)","(1167, 319)",-7,7,4.0,309
"(1168, 315)","(1168, 315)","(1168, 315)",-4,4,3.0,310
"(1172, 311)","(1172, 311)","(1172, 311)",-5,5,-1.0,311
"(1174, 311)","(1174, 311)","(1174, 311)",2,2,7.0,312
"(1174, 311)","(1174, 311)","(1174, 311)",0,0,-2.0,313
"(1176, 312)","(1176, 312)","(1176, 312)",2,2,2.0,314
"(1176, 315)","(1176, 315)","(1176, 315)",3,3,1.0,315
"(1176, 320)","(1176, 320)","(1176, 320)",5,5,2.0,316
"(1177, 329)","(1177, 329)","(1177, 329)",9,9,4.0,317
"(1178, 329)","(1178, 329)","(1178, 329)",1,1,-8.0,318
"(1178, 311)","(1178, 311)","(1178, 311)",-18,18,-19.0,319
,,"(1178, 292)",-19,19,-1.0,320
"(1179, 278)","(1179, 278)","(1179, 278)",-14,14,5.0,321
"(1178, 262)","(1178, 262)","(1178, 262)",-16,16,-2.0,322
"(1179, 252)","(1179, 252)","(1179, 252)",-10,10,6.0,323
"(1179, 240)","(1179, 240)","(1179, 240)",-12,12,-2.0,324
,,"(1179, 229)",-11,11,1.0,325
"(1179, 222)","(1179, 222)","(1179, 222)",-7,7,4.0,326
"(1179, 216)","(1179, 216)","(1179, 216)",-6,6,1.0,327
"(857, 740)",,"(1167, 219)",12,12,18.0,328
,,"(1155, 223)",12,12,0.0,329
,,"(1144, 227)",11,11,-1.0,330
,,"(1134, 230)",10,10,-1.0,331
,,"(1125, 233)",9,9,-1.0,332
"(1118, 236)","(1118, 236)","(1118, 236)",7,7,-2.0,333
"(1104, 245)","(1104, 245)","(1104, 245)",16,16,9.0,334
"(1085, 259)","(1085, 259)","(1085, 259)",23,23,7.0,335
"(1069, 269)","(1069, 269)","(1069, 269)",18,18,-5.0,336
"(1054, 282)","(1054, 282)","(1054, 282)",19,19,1.0,337
,,"(1031, 303)",31,31,12.0,338
"(1015, 320)","(1015, 320)","(1015, 320)",23,23,-8.0,339
"(997, 339)","(997, 339)","(997, 339)",26,26,3.0,340
"(982, 356)","(982, 356)","(982, 356)",22,22,-4.0,341
,,"(957, 390)",42,42,20.0,342
,,"(933, 422)",40,40,-2.0,343
,,"(911, 452)",37,37,-3.0,344
,,"(891, 479)",33,33,-4.0,345
"(876, 501)","(876, 501)","(876, 501)",26,26,-7.0,346
"(852, 534)","(852, 534)","(852, 534)",40,40,14.0,347
"(830, 571)","(830, 571)","(830, 571)",43,43,3.0,348
"(808, 600)","(808, 600)","(808, 600)",36,36,-7.0,349
"(789, 604)","(789, 604)","(789, 604)",19,19,-17.0,350
"(770, 607)","(770, 607)","(770, 607)",19,19,0.0,351
"(749, 611)","(749, 611)","(749, 611)",21,21,2.0,352
"(732, 619)","(732, 619)","(732, 619)",18,18,-3.0,353
,,"(706, 632)",29,29,11.0,354
"(687, 643)","(687, 643)","(687, 643)",21,21,-8.0,355
"(666, 657)","(666, 657)","(666, 657)",25,25,4.0,356
"(645, 671)","(645, 671)","(645, 671)",25,25,0.0,357
"(623, 690)","(623, 690)","(623, 690)",29,29,4.0,358
,,"(597, 718)",38,38,9.0,359
,,"(573, 746)",36,36,-2.0,360
,,"(550, 772)",34,34,-2.0,361
,,"(530, 795)",30,30,-4.0,362
"(515, 813)","(515, 813)","(515, 813)",23,23,-7.0,363
,,"(575, 750)",-87,87,-110.0,364
"(622, 702)","(622, 702)","(622, 702)",-67,67,20.0,365
"(661, 662)","(661, 662)","(661, 662)",-55,55,12.0,366
"(708, 614)","(708, 614)","(708, 614)",-67,67,-12.0,367
"(735, 586)","(735, 586)","(735, 586)",-38,38,29.0,368
"(769, 552)","(769, 552)","(769, 552)",-48,48,-10.0,369
"(797, 525)","(797, 525)","(797, 525)",-38,38,10.0,370
"(824, 499)","(824, 499)","(824, 499)",-37,37,1.0,371
,,"(845, 482)",-27,27,10.0,372
,,"(867, 465)",-27,27,0.0,373
,,"(888, 449)",-26,26,1.0,374
,,"(908, 434)",-25,25,1.0,375
,,"(927, 419)",-24,24,1.0,376
,,"(946, 404)",-24,24,0.0,377
,,"(964, 391)",-22,22,2.0,378
,,"(981, 378)",-21,21,1.0,379
,,"(996, 366)",-19,19,2.0,380
"(1008, 358)","(1008, 358)","(1008, 358)",-14,14,5.0,381
"(1021, 354)","(1021, 354)","(1021, 354)",-13,13,1.0,382
"(1032, 351)","(1032, 351)","(1032, 351)",-11,11,2.0,383
"(1040, 346)","(1040, 346)","(1040, 346)",-9,9,2.0,384
"(1051, 345)","(1051, 345)","(1051, 345)",-11,11,-2.0,385
"(1060, 344)","(1060, 344)","(1060, 344)",-9,9,2.0,386
"(1069, 343)","(1069, 343)","(1069, 343)",-9,9,0.0,387
"(1079, 343)","(1079, 343)","(1079, 343)",10,10,19.0,388
"(1085, 345)","(1085, 345)","(1085, 345)",6,6,-4.0,389
"(1093, 347)","(1093, 347)","(1093, 347)",8,8,2.0,390
"(1100, 350)","(1100, 350)","(1100, 350)",7,7,-1.0,391
"(1105, 340)","(1105, 340)","(1105, 340)",-11,11,-18.0,392
"(1108, 330)","(1108, 330)","(1108, 330)",-10,10,1.0,393
"(1112, 319)","(1112, 319)","(1112, 319)",-11,11,-1.0,394
"(1116, 309)","(1116, 309)","(1116, 309)",-10,10,1.0,395
,,"(1087, 349)",49,49,59.0,396
,,"(1059, 389)",48,48,-1.0,397
,,"(1032, 428)",47,47,-1.0,398
,,"(1006, 466)",46,46,-1.0,399
,,"(980, 503)",45,45,-1.0,400
"(783, 716)",,"(955, 539)",43,43,-2.0,401
,,"(930, 574)",43,43,0.0,402
,,"(907, 607)",40,40,-3.0,403
,,"(884, 639)",39,39,-1.0,404
,,"(864, 669)",36,36,-3.0,405
,,"(845, 696)",33,33,-3.0,406
"(831, 717)","(831, 717)","(831, 717)",25,25,-8.0,407
,,"(860, 647)",-75,75,-100.0,408
,,"(889, 580)",-73,73,2.0,409
,,"(917, 516)",-69,69,4.0,410
,,"(943, 455)",-66,66,3.0,411
,,"(967, 398)",-61,61,5.0,412
,,"(989, 346)",-56,56,5.0,413
"(1007, 307)","(1007, 307)","(1007, 307)",-42,42,14.0,414
"(994, 316)","(994, 316)","(994, 316)",15,15,57.0,415
"(984, 325)","(984, 325)","(984, 325)",13,13,-2.0,416
"(970, 334)","(970, 334)","(970, 334)",16,16,3.0,417
"(959, 342)","(959, 342)","(959, 342)",13,13,-3.0,418
"(944, 359)","(944, 359)","(944, 359)",22,22,9.0,419
"(932, 371)","(932, 371)","(932, 371)",16,16,-6.0,420
"(923, 384)","(923, 384)","(923, 384)",15,15,-1.0,421
,,"(907, 407)",28,28,13.0,422
,,"(892, 430)",27,27,-1.0,423
,,"(878, 451)",25,25,-2.0,424
,,"(866, 470)",22,22,-3.0,425
"(857, 485)","(857, 485)","(857, 485)",17,17,-5.0,426
"(846, 507)","(846, 507)","(846, 507)",24,24,7.0,427
"(835, 529)","(835, 529)","(835, 529)",24,24,0.0,428
"(822, 561)","(822, 561)","(822, 561)",34,34,10.0,429
"(809, 590)","(809, 590)","(809, 590)",31,31,-3.0,430
"(797, 619)","(797, 619)","(797, 619)",31,31,0.0,431
"(783, 657)","(783, 657)","(783, 657)",40,40,9.0,432
,,"(772, 674)",20,20,-20.0,433
,,"(761, 690)",19,19,-1.0,434
,,"(752, 705)",17,17,-2.0,435
,,"(743, 719)",16,16,-1.0,436
"(737, 730)","(737, 730)","(737, 730)",12,12,-4.0,437
"(730, 733)","(730, 733)","(730, 733)",7,7,-5.0,438
"(723, 738)","(723, 738)","(723, 738)",8,8,1.0,439
"(715, 743)","(715, 743)","(715, 743)",9,9,1.0,440
"(706, 750)","(706, 750)","(706, 750)",11,11,2.0,441
"(700, 764)","(700, 764)","(700, 764)",15,15,4.0,442
"(694, 777)","(694, 777)","(694, 777)",14,14,-1.0,443
"(688, 791)","(688, 791)","(688, 791)",15,15,1.0,444
"(697, 743)","(697, 743)","(697, 743)",-48,48,-63.0,445
"(705, 696)","(705, 696)","(705, 696)",-47,47,1.0,446
"(714, 650)","(714, 650)","(714, 650)",-46,46,1.0,447
"(723, 598)","(723, 598)","(723, 598)",-52,52,-6.0,448
"(730, 560)","(730, 560)","(730, 560)",-38,38,14.0,449
"(736, 524)","(736, 524)","(736, 524)",-36,36,2.0,450
"(742, 496)","(742, 496)","(742, 496)",-28,28,8.0,451
,,"(744, 470)",-26,26,2.0,452
,,"(747, 446)",-24,24,2.0,453
,,"(750, 423)",-23,23,1.0,454
